'ID;Titre;Sous-titre;Édition;Type;EAN;"Prix indicatif";Dimensions;Poids;Joueur(s);Durée;Age(s);Langues;Univers;Gamme(s);Catégorie(s);Thème(s);Mécanisme(s);Éditeur(s);Auteur(s);Illustrateur(s);"Date d'acquisition";Propriétaire;Cadeaux;Emplacement;"Prix d'achat";Gratuit;État;Privé;Protégé;Organisé;Personnalisé;"Figurines peintes";Commentaire;Référence;Référent;"Dernière partie";"Note moyenne";"Note ajustée";"Note personnelle"
76634;Acornism;;2024;basegame;;0;;;"2 — 4";"15 — 20";6+;français,anglais,italien,japonais;;;"Jeu de tuiles";Animaux;"Placement de tuiles";Phantomlab;;;2025-09-18;;;;;0;;non;non;non;non;non;;;;;10;7,8;0
90261;"Heat - Rocky Roads";;2026;extension;0824968091241;30;;;"1 — 7";"30 — 60";10+;français;;Heat;"Jeu de plateau";Automobile,Sports;"Choix simultanés,Course,Gestion de main,Parcours,Prise de risque";"Days Of Wonder";"Asger Harding Granerud,Daniel Skjold Pedersen";"Vincent Dutrait";2026-02-28;;;;;0;;non;non;non;non;non;;;;;8,6;8;0
80026;Zenith;;2025;basegame;5430003838204;30;27x27x7;500g;"2 — 4";30;12+;français;;Zenith;"Jeu de Cartes";Science-fiction;"Équipes,Gestion de main,Négociation,Plateau modulaire,Tir à la corde";PlayPunk;"Grégory Grard,Mathieu Roussel";Naïade;2025-07-30;;;;;0;;non;non;non;non;non;;;;;8,5;8,5;0
75298;"Cartographers - Packs de Parchemins 4 5 6";;2024;extension;5425037741538;27,9;22.5x15x4.1;885g;1+;"30 — 45";10+;français;"Le monde d'Ulos";Cartographers;"Jeu à Griffonner,Jeu de Cartes,Jeu de plateau";"Environnement,Géographie,Maritime,Médiéval Fantastique,Monstres & Créatures,Ville,Volcans";"Construction,Dans Ta Face,Flip & Write,Papier & Crayon";"Intrafin Games,Thunderworks Games";"John Brieger,Jordy Adan";"Lucas Ribeiro,Luis Francisco";2024-10-28;;;;;0;;non;non;non;non;non;;;;;8,4;7,9;0
20415;"Carcassonne - Big box";;2017;basegame;8435407617117;70;43.5x32x10;;"2 — 6";35;7+;français;;Carcassonne;"Jeu de tuiles";Médiéval,Ville;"Blocage,Connexion,Majorité,Placement de tuiles";"Hans Im Glück,Z-Man Games";"Klaus-Jürgen Wrede";"Anne Pätzke,Chris Quilliams";2024-04-16;;;;;0;;non;non;non;non;non;;;;;8,3;8,2;10
70693;"Happy Little Dinosaurs - Puberté Dangereuse";;2023;extension;3558380096870;12,5;9.2x6.5x2;100g;"2 — 4";"30 — 60";8+;français;;"Happy Little Dinosaurs";"Jeu de Cartes";Dinosaures,Humour;"Collection,Élimination,Gestion de main,Pouvoir,Prise de risque";"Unstable Games";"Ramy Badie";"Ramy Badie";2024-10-28;;;;;0;;non;non;non;non;non;;;;;8,3;7,7;0
70768;"Happy Little Dinosaurs - Rencards Catastrophiques";;2023;extension;3558380109860;11,9;9.2x6.5x2;100g;"2 — 4";"30 — 60";8+;français;;"Happy Little Dinosaurs";"Jeu de Cartes";Dinosaures,Humour;"Collection,Élimination,Gestion de main,Pouvoir,Prise de risque";"Teeturtle,Unstable Games";"Ramy Badie";"Ramy Badie";2024-10-28;;;;;0;;non;non;non;non;non;;;;;8,3;7,8;0
26248;"Dice Forge - Rebellion";;2019;extension;3558380059974;26,9;14x29.2x7.6;640g;"2 — 4";40;10+;français,anglais;;"Dice Forge";"Jeu de dés";Antiquité,Fantastique;"Deck building,Draft,Jet De Dés";Libellud;"Régis Bonnessée";Biboun;2024-07-11;;;;;0;;non;non;non;non;non;;;;;8,2;8,1;0
36898;Cartographers;;2020;basegame;5425037740418;17,5;22.5x15x4.1;500g;1+;"30 — 45";10+;français;"Le monde d'Ulos";Cartographers;"Jeu à Griffonner,Jeu de Cartes,Jeu de plateau";"Environnement,Géographie,Médiéval Fantastique,Monstres & Créatures";"Construction,Dans Ta Face,Flip & Write,Papier & Crayon,Simultanéité";"Intrafin Games,Thunderworks Games";"Jordy Adan";"Lucas Ribeiro,Luis Francisco";2024-10-28;;;;;0;;non;non;non;non;non;;;;;8,1;8;0
46498;"Les Aventuriers du Rail - Europe";"15e Anniversaire";2021;basegame;0824968202333;99;35.7x35.7x9.4;3.1kg;"2 — 5";"30 — 60";8+;français;;"Les Aventuriers Du Rail";"Jeu de plateau";"Europe,Réseau Routier,Trains,Transport & voyage";"Collection,Connexion,Objectif secret";"Days Of Wonder";"Alan R. Moon";"Julien Delval";2024-05-27;;;;;0;;non;non;non;non;non;;;;;8,1;8,1;8
21303;"Mysterium - Secrets & Lies";;2017;extension;3558380047322;20;14.2x28.5x4;40g;"2 — 7";42;10+;français,anglais,allemand,espagnol,néerlandais,portugais,japonais;Mysterium;Mysterium;"Jeu d'Ambiance";"Enquêtes & Mystères,Fantastique,Fantômes & Esprits";"Communication Restreinte,Coopération,Créativité & Imagination,Déduction,Observation";Libellud;"Oleg Sidorenko,Oleksandr Nevskiy";"Xavier Collette";2024-04-13;;;;;0;;non;non;non;non;non;;;;;8,1;8;0
19450;Valeria;"Le Royaume";2017;basegame;3760425810055;40;25.2x25.2x7.5;1.1kg;"1 — 5";"30 — 45";13+;français;Valeria;"Valeria Le Royaume";"Jeu de Cartes,Jeu de dés";"Médiéval Fantastique,Monstres & Créatures";"Combinaison,Construction,Deck building,Jet De Dés";"Daily Magic Games";"Isaias Vallejo";"Mihajlo Dimitrievski";2024-06-04;;;;;0;;non;non;non;non;non;;;;;8,1;8,1;0
